Fecha de la captura,Nombre Blockchain,Token,Nombre,Precio (en US$),Ranking,Clase
01/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
01/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
02/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
02/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
03/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
03/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
04/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
04/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
05/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
05/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
06/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
06/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
07/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
07/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
08/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
08/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
09/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
09/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
10/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
10/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
11/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
11/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
12/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
12/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
13/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
13/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
14/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
14/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
15/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
15/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
16/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
16/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
17/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
17/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
18/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
18/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
19/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
19/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
20/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
20/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
21/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
21/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
22/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
22/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
23/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
23/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
24/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
24/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
25/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
25/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
26/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
26/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
27/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
27/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
28/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
28/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
29/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
29/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
30/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
30/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
31/10/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
31/10/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
01/11/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
01/11/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
02/11/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
02/11/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
03/11/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
03/11/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
04/11/2023,Ethereum,PEPE,Pepe,8.591668612951417e-06,28.0,3
04/11/2023,Ethereum,PEPE,Pepe,0.0045578785391351,3619.0,3
05/11/2023,Ethereum,PEPE,Pepe,8.5861953612973e-06,28.0,3
05/11/2023,Ethereum,PEPE,Pepe,0.0045542544644624,3619.0,3
06/11/2023,Ethereum,PEPE,Pepe,8.5861953612973e-06,28.0,3
06/11/2023,Ethereum,PEPE,Pepe,0.0045542544644624,3619.0,3
07/11/2023,Ethereum,PEPE,Pepe,8.5861953612973e-06,28.0,3
